EcoBoundaryID,AdminBoundaryID,SpeciesTypeID,StratumID,SecondaryStratumID,StateClassID,AverageTemperature
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Georgia,Forest: Longleaf/Slash Pine Group,19.5732041
Mixedwood Plains,Ontario,Pine - Genus type,Western Gulf Coastal Plain,Louisiana,Forest: Longleaf/Slash Pine Group,19.93493723
Mixedwood Plains,Ontario,Pine - Genus type,South Central Plains,Louisiana,Forest: Longleaf/Slash Pine Group,19.46431177
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Louisiana,Forest: Longleaf/Slash Pine Group,19.31657028
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Alluvial Plain,Louisiana,Forest: Longleaf/Slash Pine Group,20.00598952
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Valley Loess Plains,Louisiana,Forest: Longleaf/Slash Pine Group,19.85563369
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Louisiana,Forest: Longleaf/Slash Pine Group,19.7889342
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Mississippi,Forest: Longleaf/Slash Pine Group,19.01394085
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Valley Loess Plains,Mississippi,Forest: Longleaf/Slash Pine Group,19.20617783
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Mississippi,Forest: Longleaf/Slash Pine Group,19.56041074
Atlantic Maritime,Quebec,Pine - Genus type,Middle Atlantic Coastal Plain,North Carolina,Forest: Longleaf/Slash Pine Group,17.26513873
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,North Carolina,Forest: Longleaf/Slash Pine Group,16.48045591
Mixedwood Plains,Ontario,Pine - Genus type,Piedmont,South Carolina,Forest: Longleaf/Slash Pine Group,17.30063931
Atlantic Maritime,Quebec,Pine - Genus type,Middle Atlantic Coastal Plain,South Carolina,Forest: Longleaf/Slash Pine Group,18.39673907
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,South Carolina,Forest: Longleaf/Slash Pine Group,17.24618211
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,South Carolina,Forest: Longleaf/Slash Pine Group,18.92821554
Mixedwood Plains,Alberta,Pine - Genus type,East Central Texas Plains,Texas,Forest: Longleaf/Slash Pine Group,19.21587689
Mixedwood Plains,Alberta,Pine - Genus type,Western Gulf Coastal Plain,Texas,Forest: Longleaf/Slash Pine Group,19.85307791
Mixedwood Plains,Alberta,Pine - Genus type,South Central Plains,Texas,Forest: Longleaf/Slash Pine Group,19.46339209
Mixedwood Plains,Ontario,Pine - Genus type,Piedmont,Alabama,Forest: Loblolly/Shortleaf Pine Group,16.83342643
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Alabama,Forest: Loblolly/Shortleaf Pine Group,18.07108299
Mixedwood Plains,Ontario,Pine - Genus type,Ridge and Valley,Alabama,Forest: Loblolly/Shortleaf Pine Group,16.72376159
Mixedwood Plains,Ontario,Pine - Genus type,Southwestern Appalachians,Alabama,Forest: Loblolly/Shortleaf Pine Group,16.42755787
Mixedwood Plains,Ontario,Pine - Genus type,Interior Plateau,Alabama,Forest: Loblolly/Shortleaf Pine Group,15.81424919
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Alabama,Forest: Loblolly/Shortleaf Pine Group,19.3572501
Mixedwood Plains,Ontario,Pine - Genus type,South Central Plains,Arkansas,Forest: Loblolly/Shortleaf Pine Group,17.18604996
Mixedwood Plains,Ontario,Pine - Genus type,Ouachita Mountains,Arkansas,Forest: Loblolly/Shortleaf Pine Group,16.04220412
Mixedwood Plains,Ontario,Pine - Genus type,Arkansas Valley,Arkansas,Forest: Loblolly/Shortleaf Pine Group,15.82198317
Montane Cordillera,Ontario,Pine - Genus type,Boston Mountains,Arkansas,Forest: Loblolly/Shortleaf Pine Group,14.94388813
Montane Cordillera,Ontario,Pine - Genus type,Ozark Highlands,Arkansas,Forest: Loblolly/Shortleaf Pine Group,14.94195378
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Alluvial Plain,Arkansas,Forest: Loblolly/Shortleaf Pine Group,17.33990264
Atlantic Maritime,Quebec,Pine - Genus type,Northeastern Coastal Zone,Connecticut,Forest: Loblolly/Shortleaf Pine Group,10.09946459
Atlantic Maritime,Quebec,Pine - Genus type,Middle Atlantic Coastal Plain,Delaware,Forest: Loblolly/Shortleaf Pine Group,13.74587912
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Florida,Forest: Loblolly/Shortleaf Pine Group,19.41397911
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Florida,Forest: Loblolly/Shortleaf Pine Group,20.89215252
Mixedwood Plains,Ontario,Pine - Genus type,Piedmont,Georgia,Forest: Loblolly/Shortleaf Pine Group,16.96543168
Mixedwood Plains,Ontario,Pine - Genus type,Southeastern Plains,Georgia,Forest: Loblolly/Shortleaf Pine Group,18.42253091
Mixedwood Plains,Ontario,Pine - Genus type,Blue Ridge,Georgia,Forest: Loblolly/Shortleaf Pine Group,14.75418601
Mixedwood Plains,Ontario,Pine - Genus type,Ridge and Valley,Georgia,Forest: Loblolly/Shortleaf Pine Group,15.69415337
Mixedwood Plains,Ontario,Pine - Genus type,Southwestern Appalachians,Georgia,Forest: Loblolly/Shortleaf Pine Group,14.61366731
Atlantic Maritime,Quebec,Pine - Genus type,Southern Coastal Plain,Georgia,Forest: Loblolly/Shortleaf Pine Group,19.42792721
Mixedwood Plains,Ontario,Pine - Genus type,Interior Plateau,Illinois,Forest: Loblolly/Shortleaf Pine Group,14.1808039
Mixedwood Plains,Ontario,Pine - Genus type,Interior River Valleys and Hills,Illinois,Forest: Loblolly/Shortleaf Pine Group,14.18239279
Mixedwood Plains,Ontario,Pine - Genus type,Interior River Valleys and Hills,Indiana,Forest: Loblolly/Shortleaf Pine Group,13.03750501
Mixedwood Plains,Ontario,Pine - Genus type,Western Allegheny Plateau,Kentucky,Forest: Loblolly/Shortleaf Pine Group,12.81699538
Mixedwood Plains,Ontario,Pine - Genus type,Interior Plateau,Kentucky,Forest: Loblolly/Shortleaf Pine Group,14.08926044
Mixedwood Plains,Ontario,Pine - Genus type,Interior River Valleys and Hills,Kentucky,Forest: Loblolly/Shortleaf Pine Group,14.2063341
Mixedwood Plains,Ontario,Pine - Genus type,Mississippi Valley Loess Plains,Kentucky,Forest: Loblolly/Shortleaf Pine Group,14.59184652
Mixedwood Plains,Ontario,Pine - Genus type,Western Gulf Coastal Plain,Louisiana,Forest: Loblolly/Shortleaf Pine Group,20.0049727
Mixedwood Plains,Ontario,Pine - Genus type,South Central Plains,Louisiana,Forest: Loblolly/Shortleaf Pine Group,18.56470271
